"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME"
"MACPOWER","Macpower CNC Machines Limited","Ms Mehta  Pritiben  Jagdishbhai","17-MAR-2021 to 17-MAR-2021","750",,"128449","Reg29(1)","22-Mar-2021, 14-26"
"MACPOWER","Macpower CNC Machines Limited","Mrs  Riya Rupeshkumar Mehta","17-MAR-2021 to 17-MAR-2021","2200",,"1814332","Reg29(1)","22-Mar-2021, 14-26"
"MACPOWER","Macpower CNC Machines Limited","Mrs Mehta Nimishaben Nikeshbhai","17-MAR-2021 to 17-MAR-2021","5800",,"362700","Reg29(1)","22-Mar-2021, 14-26"
"PENINLAND","Peninsula Land Limited","Ashok Piramal Group Real Estate Trust","18-MAR-2021 to 18-MAR-2021","1390000",,"153019248","Reg29(2)","22-Mar-2021, 14-26"
"HGS","Hinduja Global Solutions Limited","Hinduja Group Ltd., and Hinduja Realty Ventures Ltd.","17-MAR-2021 to 17-MAR-2021",,"1040000","2314490","Reg29(2)","22-Mar-2021, 11-26"
"ZUARIGLOB","Zuari Global Limited","Adventz Finance Private Limited alongwith PAC","17-MAR-2021 to 17-MAR-2021","18048",,"2454741","Reg29(2)","22-Mar-2021, 11-24"
"AIRAN","Airan Limited","Mr. Abhishek Sandeepkumar Agrawal","17-MAR-2021 to 17-MAR-2021","100000",,"93258251","Reg29(2)","22-Mar-2021, 11-22"
"HISARMETAL","Hisar Metal Industries Limited","Pushpa jindal","18-MAR-2021 to 18-MAR-2021","0",,"1314050","Reg29(2)","22-Mar-2021, 11-22"
"TERASOFT","Tera Software Limited","Tummala Gopichand","17-MAR-2021 to 17-MAR-2021",,"696282","1196554","Reg29(2)","22-Mar-2021, 11-22"
"BEARDSELL","Beardsell Limited","Bharat Anumolu","15-FEB-2021 to 16-MAR-2021",,"113840","3841357","Reg29(2)","22-Mar-2021, 11-20"
"GNA","GNA Axles Limited","Gurdeep Singh","18-MAR-2021 to 20-MAR-2021","531500",,"3391756","Reg29(2)","22-Mar-2021, 11-20"
"GOKUL","Gokul Refoils and Solvent Limited","Jashodaben Commodities LLP","19-MAR-2021 to 19-MAR-2021",,"484196","815804","Reg29(2)","22-Mar-2021, 11-20"
"MOHITIND","Mohit Industries Limited","MADHU NARAYAN SABOO","19-MAR-2021 to 19-MAR-2021","19396",,"569003","Reg29(2)","22-Mar-2021, 11-20"
"ORIENTALTL","Oriental Trimex Limited","Yogya Wines Pvt Ltd","18-MAR-2021 to 18-MAR-2021",,"500000","2000000","Reg29(2)","22-Mar-2021, 11-20"
"PASHUPATI","Pashupati Cotspin Limited","Shree Pashupati Fabric LLP","19-MAR-2021 to 19-MAR-2021","3200",,"435200","Reg29(2)","22-Mar-2021, 11-20"
"SIGIND","Signet Industries Limited","Mukesh Sangla","19-MAR-2021 to 19-MAR-2021","40000",,"867086","Reg29(2)","22-Mar-2021, 11-20"
"USHAMART","Usha Martin Limited","Jhawar Venture Management Pvt Ltd","17-MAR-2021 to 17-MAR-2021",,"200000","0","Reg29(2)","22-Mar-2021, 11-20"
"ZUARIGLOB","Zuari Global Limited","Saroj Kumar Poddar","19-MAR-2021 to 19-MAR-2021","16264",,"322989","Reg29(2)","22-Mar-2021, 11-20"
"HISARMETAL","Hisar Metal Industries Limited","Ravinder Kumar Jindal","18-MAR-2021 to 18-MAR-2021",,"0","1314050","Reg29(2)","22-Mar-2021, 11-18"
"MOTOGENFIN","The Motor & General Finance Limited","Ram Prakash and Co P Limited","19-MAR-2021 to 19-MAR-2021","7782",,"1620028","Reg29(2)","22-Mar-2021, 11-18"
"GNA","GNA Axles Limited","GNA Gears Limited","15-MAR-2021 to 15-MAR-2021","20",,"20","Reg29(2)","22-Mar-2021, 08-38"
"PAISALO","Paisalo Digital Limited","Pro FITCCH P Ltd","20-MAR-2021 to 20-MAR-2021","0",,"60800","Reg29(2)","22-Mar-2021, 08-38"
"PAISALO","Paisalo Digital Limited","PRI CAF P LTD","20-MAR-2021 to 20-MAR-2021","870000",,"870000","Reg29(2)","22-Mar-2021, 08-38"
"PAISALO","Paisalo Digital Limited","PRI CAF P LTD","20-MAR-2021 to 20-MAR-2021","0",,"256920","Reg29(2)","22-Mar-2021, 08-38"
"PAISALO","Paisalo Digital Limited","Pro FITCCH P Ltd","20-MAR-2021 to 20-MAR-2021","870000",,"870000","Reg29(2)","22-Mar-2021, 08-38"
"SHRENIK","Shrenik Limited","Mr. Kaivan Vimawala","18-MAR-2021 to 18-MAR-2021",,"143300","15150467","Reg29(2)","22-Mar-2021, 08-38"
"MACPOWER","Macpower CNC Machines Limited","Mrs Mehta Nimishaben Nikeshbhai","18-MAR-2021 to 18-MAR-2021","12500",,"375200","Reg29(1)","22-Mar-2021, 08-36"
"MACPOWER","Macpower CNC Machines Limited","Mrs Mehta Nimishaben Nikeshbhai","18-MAR-2021 to 18-MAR-2021","12500",,"375200","Reg29(2)","22-Mar-2021, 08-36"
"MACPOWER","Macpower CNC Machines Limited","Mrs Mehta Nimishaben Nikeshbhai","18-MAR-2021 to 18-MAR-2021","12500",,"375200","Reg29(1)","22-Mar-2021, 08-36"
"MACPOWER","Macpower CNC Machines Limited","Mrs Mehta Nimishaben Nikeshbhai","18-MAR-2021 to 18-MAR-2021","12500",,"375200","Reg29(2)","22-Mar-2021, 08-36"
"PAISALO","Paisalo Digital Limited","EQUILIBRATED VENTURE CFLOW P LTD","20-MAR-2021 to 20-MAR-2021","870000",,"870000","Reg29(2)","22-Mar-2021, 08-36"
"PAISALO","Paisalo Digital Limited","EQUILIBRATED VENTURE CFLOW P LTD","20-MAR-2021 to 20-MAR-2021","0",,"4084212","Reg29(2)","22-Mar-2021, 08-36"
"PENINLAND","Peninsula Land Limited","Ashok Piramal Group Real Estate Trust","19-MAR-2021 to 19-MAR-2021","1390000",,"154409248","Reg29(2)","22-Mar-2021, 08-36"
"PPAP","PPAP Automotive Limited","Kalindi Farms Private Limited","18-MAR-2021 to 18-MAR-2021","2000",,"9046897","Reg29(2)","22-Mar-2021, 08-36"
"HISARMETAL","Hisar Metal Industries Limited","Ravinder Kumar Jindal","18-MAR-2021 to 18-MAR-2021",,"86300","0","Reg29(2)","22-Mar-2021, 08-34"
"HISARMETAL","Hisar Metal Industries Limited","PUSHPA JINDAL","18-MAR-2021 to 18-MAR-2021","86300",,"185450","Reg29(2)","22-Mar-2021, 08-34"
"TTL","T T Limited","Sanjay Kumar Jain","08-MAR-2021 to 18-MAR-2021","8573",,"536506","Reg29(2)","22-Mar-2021, 08-34"
"ALMONDZ","Almondz Global Securities Limited","Navjeet Singh Sobti (HUF)","18-MAR-2021 to 18-MAR-2021","7268",,"127147","Reg29(2)","20-Mar-2021, 06-00"
"DEEPAKFERT","Deepak Fertilizers And Petrochemicals Corporation Limited","Robust Marketing Services Private Limited","17-MAR-2021 to 17-MAR-2021","80000",,"10663301","Reg29(2)","20-Mar-2021, 06-00"
"PASHUPATI","Pashupati Cotspin Limited","Shree Pashupati Fabric LLP","18-MAR-2021 to 18-MAR-2021","1600",,"432000","Reg29(2)","20-Mar-2021, 06-00"
"PRAKASH","Prakash Industries Limited","Ved Prakash Agarwal","17-MAR-2021 to 17-MAR-2021","20000",,"8748907","Reg29(2)","20-Mar-2021, 06-00"
"ZUARIGLOB","Zuari Global Limited","Saroj Kumar Poddar along with PAC","18-MAR-2021 to 18-MAR-2021","32736",,"306725","Reg29(2)","19-Mar-2021, 20-10"
"MOHITIND","Mohit Industries Limited","Narayan Sitaram Saboo","17-MAR-2021 to 17-MAR-2021","7000",,"705005","Reg29(2)","19-Mar-2021, 20-08"
"INFIBEAM","Infibeam Avenues Limited","O3 Developers Private Limited","17-MAR-2021 to 17-MAR-2021",,"2606237","2928787","Reg29(2)","19-Mar-2021, 19-56"
"SHRENIK","Shrenik Limited","Mr. Kaivan Vimawala","17-MAR-2021 to 17-MAR-2021",,"74711","15293767","Reg29(2)","19-Mar-2021, 19-56"
"SHRENIK","Shrenik Limited","Mr. Rishit Vimawala","17-MAR-2021 to 17-MAR-2021",,"2900000","19728000","Reg29(2)","19-Mar-2021, 19-56"
"HCG","Healthcare Global Enterprises Limited","Dr. B.S. Ajaikumar","17-MAR-2021 to 17-MAR-2021","47914",,"17755584","Reg29(2)","19-Mar-2021, 19-54"
"PFOCUS","Prime Focus Limited","Novator Capital Limited","17-MAR-2021 to 17-MAR-2021",,,"177907833","Reg29(2)","19-Mar-2021, 19-50"
"PPAP","PPAP Automotive Limited","Kalindi Farms Private Limited","17-MAR-2021 to 17-MAR-2021","2000",,"9044897","Reg29(2)","19-Mar-2021, 19-50"
"ORIENTALTL","Oriental Trimex Limited","Elite Stonetech Private Limited","18-MAR-2021 to 18-MAR-2021",,"144602","0","Reg29(2)","19-Mar-2021, 19-46"
"ORIENTBELL","Orient Bell Limited","Sarla Daga","18-MAR-2021 to 18-MAR-2021","120",,"745867","Reg29(2)","19-Mar-2021, 19-46"
"ORIENTBELL","Orient Bell Limited","Madhur Daga","18-MAR-2021 to 18-MAR-2021","3500",,"1315511","Reg29(2)","19-Mar-2021, 19-44"
"ORIENTBELL","Orient Bell Limited","Mahendra K Daga","18-MAR-2021 to 18-MAR-2021","350",,"3235622","Reg29(2)","19-Mar-2021, 19-44"
"GINNIFILA","Ginni Filaments Limited","Raghukul Trading Private Limited","19-MAR-2021 to 19-MAR-2021","5000000",,"15005017","Reg29(2)","19-Mar-2021, 19-42"
"ORIENTBELL","Orient Bell Limited","Freesia Investment And Trading Company Limited","18-MAR-2021 to 18-MAR-2021","530",,"631492","Reg29(2)","19-Mar-2021, 19-42"
"GINNIFILA","Ginni Filaments Limited","Lochan Agro Private Limited","19-MAR-2021 to 19-MAR-2021","3500000",,"3500000","Reg29(2)","19-Mar-2021, 19-40"
"LINCOLN","Lincoln Pharmaceuticals Limited","Munjal Mahendrabhai Patel","19-MAR-2021 to 19-MAR-2021","20000",,"1325500","Reg29(2)","19-Mar-2021, 19-40"
"SBICARD","Sbi Cards And Payment Services Limited","CA Rover Holdings","17-MAR-2021 to 17-MAR-2021",,"40000000","109173488","Reg29(2)","19-Mar-2021, 19-40"
"JUBLINGREA","Jubilant Ingrevia Limited","East Bridge Capital Master Fund I Ltd.","05-FEB-2021 to 05-FEB-2021","12748893",,"12748893","Reg29(1)","19-Mar-2021, 19-36"
"ZUARIGLOB","Zuari Global Limited","Adventz Finance Private Limited","18-MAR-2021 to 18-MAR-2021","14750",,"2469491","Reg29(2)","19-Mar-2021, 19-36"
"INFIBEAM","Infibeam Avenues Limited","Varini Patel","17-MAR-2021 to 17-MAR-2021",,"3250000","22000000","Reg29(2)","19-Mar-2021, 19-30"
"CLEDUCATE","CL Educate Limited","Satya Narayanan R","19-MAR-2021 to 19-MAR-2021","1000",,"2444557","Reg29(2)","19-Mar-2021, 19-28"
"GODFRYPHLP","Godfrey Phillips India Limited","K K Modi Investment And Financial Services Private Limited along with PAC","19-MAR-2021 to 19-MAR-2021","4512",,"24744568","Reg29(2)","19-Mar-2021, 19-28"
"USHAMART","Usha Martin Limited","Anupriya Welfare Trust","18-MAR-2021 to 18-MAR-2021",,"2196","0","Reg29(2)","19-Mar-2021, 19-28"
"MOHITIND","Mohit Industries Limited","Madhu Saboo","18-MAR-2021 to 18-MAR-2021","19000",,"549607","Reg29(2)","19-Mar-2021, 19-24"
"SIGIND","Signet Industries Limited","Mukesh Sangla","19-MAR-2021 to 19-MAR-2021","40000",,"867086","Reg29(2)","19-Mar-2021, 19-24"
"USHAMART","Usha Martin Limited","Apurv Jhawar","18-MAR-2021 to 18-MAR-2021",,"2000","0","Reg29(2)","19-Mar-2021, 19-24"
"KHANDSE","Khandwala Securities Limited","Mr. Paresh Khandwala,","17-MAR-2021 to 19-MAR-2021","2439",,"173637","Reg29(2)","19-Mar-2021, 19-22"
"TATACOMM","Tata Communications Limited","Panatone Finvest Limited","18-MAR-2021 to 18-MAR-2021","28500000",,"167760493","Reg29(2)","19-Mar-2021, 19-22"
"STEELCITY","Steel City Securities Limited","KAMIREDDI SATYANARAYANA","19-MAR-2021 to 19-MAR-2021","2000",,"1594000","Reg29(2)","19-Mar-2021, 19-20"
"PRICOLLTD","Pricol Limited","Vikram Mohan","17-MAR-2021 to 17-MAR-2021","3098281",,"7625506","Reg29(1)","19-Mar-2021, 16-16"
"PRICOLLTD","Pricol Limited","Vikram Mohan","17-MAR-2021 to 17-MAR-2021","3098281",,"7625506","Reg29(2)","19-Mar-2021, 16-14"
"PRICOLLTD","Pricol Limited","Vanitha Mohan","17-MAR-2021 to 17-MAR-2021","940270",,"5731468","Reg29(1)","19-Mar-2021, 16-14"
"PRICOLLTD","Pricol Limited","Viren Mohan","17-MAR-2021 to 17-MAR-2021",,"1902402","6658409","Reg29(2)","19-Mar-2021, 16-12"
"PRICOLLTD","Pricol Limited","Vanitha Mohan","17-MAR-2021 to 17-MAR-2021","940270",,"5731468","Reg29(2)","19-Mar-2021, 16-12"
"TERASOFT","Tera Software Limited","Tummala Rajasekhar","18-MAR-2021 to 18-MAR-2021","1103718",,"2824617","Reg29(2)","19-Mar-2021, 16-10"
"TERASOFT","Tera Software Limited","Tummala Gopichand (HUF)","18-MAR-2021 to 18-MAR-2021",,"503718","0","Reg29(2)","19-Mar-2021, 16-08"
"TERASOFT","Tera Software Limited","Tummala Pavana Devi","18-MAR-2021 to 18-MAR-2021",,"600000","574760","Reg29(2)","19-Mar-2021, 16-08"
"TERASOFT","Tera Software Limited","Tummala Pavana Devi","18-MAR-2021 to 18-MAR-2021",,"600000","574760","Reg29(2)","19-Mar-2021, 16-06"
"TERASOFT","Tera Software Limited","Tummala Rajasekhar","18-MAR-2021 to 18-MAR-2021","1103718",,"2824617","Reg29(2)","19-Mar-2021, 16-04"
"TERASOFT","Tera Software Limited","Tummala Gopichand (HUF)","18-MAR-2021 to 18-MAR-2021",,"503718","0","Reg29(2)","19-Mar-2021, 16-02"
"MACPOWER","Macpower CNC Machines Limited","Mrs Mehta Nimishaben Nikeshbhai","17-MAR-2021 to 17-MAR-2021","5800",,"362700","Reg29(1)","19-Mar-2021, 15-38"
"MACPOWER","Macpower CNC Machines Limited","Mrs Mehta Pritiben Jagdishbhai","17-MAR-2021 to 17-MAR-2021","750",,"128449","Reg29(2)","19-Mar-2021, 15-38"
"MACPOWER","Macpower CNC Machines Limited","Mrs  Riya Rupeshkumar Mehta","17-MAR-2021 to 17-MAR-2021","2200",,"1814332","Reg29(1)","19-Mar-2021, 15-38"
"MACPOWER","Macpower CNC Machines Limited","Mrs Mehta Nimishaben Nikeshbhai","17-MAR-2021 to 17-MAR-2021","5800",,"362700","Reg29(2)","19-Mar-2021, 15-38"
"MACPOWER","Macpower CNC Machines Limited","Mrs Riyaben Rupeshkumar Mehta","17-MAR-2021 to 17-MAR-2021","2200",,"1814332","Reg29(2)","19-Mar-2021, 15-38"
"MACPOWER","Macpower CNC Machines Limited","Ms Mehta  Pritiben  Jagdishbhai","17-MAR-2021 to 17-MAR-2021","750",,"128449","Reg29(1)","19-Mar-2021, 15-38"
"PFOCUS","Prime Focus Limited","IDBI Trusteeship Services Limited","18-NOV-2019 to 18-NOV-2019","0",,"31639695","Reg29(2)","19-Mar-2021, 15-38"
"ELGIEQUIP","Elgi Equipments Limited","Wasatch Advisors, Inc.","09-MAR-2021 to 09-MAR-2021","1000000",,"16046311","Reg29(1)","19-Mar-2021, 15-36"
"ELGIEQUIP","Elgi Equipments Limited","Wasatch Advisors Inc","09-MAR-2021 to 09-MAR-2021","1000000",,"16046311","Reg29(2)","19-Mar-2021, 15-36"
"LINCPEN","Linc Pen & Plastics Limited","Utkarsh Aloke Jalan","18-MAR-2021 to 18-MAR-2021","500000",,"645900","Reg29(2)","19-Mar-2021, 15-34"
"LINCPEN","Linc Pen & Plastics Limited","Aakash Aloke Jalan","18-MAR-2021 to 18-MAR-2021","500000",,"657300","Reg29(2)","19-Mar-2021, 15-34"
"LINCPEN","Linc Pen & Plastics Limited","Shobha Jalan","18-MAR-2021 to 18-MAR-2021",,"1000000","1016106","Reg29(2)","19-Mar-2021, 15-34"
"PRICOLLTD","Pricol Limited","Vijay Mohan","17-MAR-2021 to 17-MAR-2021",,"2136149","9615636","Reg29(2)","19-Mar-2021, 15-34"
"SIGIND","Signet Industries Limited","Mukesh Sangla","18-MAR-2021 to 18-MAR-2021","3500",,"827086","Reg29(2)","19-Mar-2021, 15-34"
"JISLJALEQS","Jain Irrigation Systems Limited","KBC Asset Management NV on behalf of KBC Eco Fund and KBC Equity Fund","09-MAR-2021 to 09-MAR-2021",,"4523086","16275247","Reg29(2)","19-Mar-2021, 14-18"
"PENINLAND","Peninsula Land Limited","Ashok Piramal Group Real Estate Trust","16-MAR-2021 to 16-MAR-2021","1350000",,"150279248","Reg29(2)","19-Mar-2021, 14-18"
"PENINLAND","Peninsula Land Limited","Ashok Piramal Group Real Estate Trust","17-MAR-2021 to 17-MAR-2021","1350000",,"151629248","Reg29(2)","19-Mar-2021, 14-18"
"TATACOMM","Tata Communications Limited","The President of India, acting through and represented by the Deparment of Telecommunications Ministry of Communications   Government of India","16-MAR-2021 to 17-MAR-2021",,"45946885","28500000","Reg29(2)","19-Mar-2021, 14-16"
"TATACOMM","Tata Communications Limited","The President of India, acting through and represented by the Deparment of Telecommunications Ministry of Communications   Government of India","18-MAR-2021 to 18-MAR-2021",,"28500000","0","Reg29(2)","19-Mar-2021, 14-14"
"INFIBEAM","Infibeam Avenues Limited","Varini Patel","16-MAR-2021 to 16-MAR-2021",,"2999900","25250000","Reg29(2)","19-Mar-2021, 14-12"
"SHRENIK","Shrenik Limited","Mr. Kaivan Vimawala","16-MAR-2021 to 16-MAR-2021",,"170000","15368478","Reg29(2)","19-Mar-2021, 12-54"
"MACPOWER","Macpower CNC Machines Limited","Mrs Mehta Pritiben Jagdishbhai","17-MAR-2021 to 17-MAR-2021","750",,"128449","Reg29(2)","19-Mar-2021, 12-44"
"MACPOWER","Macpower CNC Machines Limited","Mrs Mehta Nimishaben Nikeshbhai","17-MAR-2021 to 17-MAR-2021","5800",,"362700","Reg29(2)","19-Mar-2021, 12-44"
"MACPOWER","Macpower CNC Machines Limited","Mrs Riyaben Rupeshkumar Mehta","17-MAR-2021 to 17-MAR-2021","2200",,"1814332","Reg29(2)","19-Mar-2021, 12-44"
"KIRLOSENG","Kirloskar Oil Engines Limited","Ms. Gauri Kirloskar","18-MAR-2021 to 18-MAR-2021","5753580",,"5753580","Reg29(2)","19-Mar-2021, 12-40"
"WEBELSOLAR","Websol Energy System Limited","India Max Investment Fund Limited","16-MAR-2021 to 16-MAR-2021",,"200000","1542272","Reg29(2)","19-Mar-2021, 12-40"
"KIRLOSENG","Kirloskar Oil Engines Limited","Mr. Atul Kirloskar","18-MAR-2021 to 18-MAR-2021",,"3835720","14670947","Reg29(2)","19-Mar-2021, 12-38"
"KIRLOSENG","Kirloskar Oil Engines Limited","Mrs. Arti Kirloskar","18-MAR-2021 to 18-MAR-2021",,"3835720","3229454","Reg29(2)","19-Mar-2021, 12-38"
"KIRLOSENG","Kirloskar Oil Engines Limited","Ms. Aditi Kirloskar","18-MAR-2021 to 18-MAR-2021","1917860",,"1917860","Reg29(2)","19-Mar-2021, 12-38"
"BLBLIMITED","BLB Limited","Brij Rattan Bagri","17-MAR-2021 to 17-MAR-2021","50000",,"33770506","Reg29(2)","19-Mar-2021, 12-36"
"HGS","Hinduja Global Solutions Limited","Hinduja Group Ltd.","17-MAR-2021 to 17-MAR-2021","1040000",,"6858541","Reg29(2)","18-Mar-2021, 19-22"
"PFOCUS","Prime Focus Limited","A2R Holdings","17-MAR-2021 to 17-MAR-2021","73299666",,"177907833","Reg29(2)","18-Mar-2021, 19-22"
"PFOCUS","Prime Focus Limited","IDBI Trusteeship Services Limited","17-MAR-2021 to 17-MAR-2021",,"73299666","31639695","Reg29(2)","18-Mar-2021, 19-20"
"CEREBRAINT","Cerebra Integrated Technologies Limited","Manish Lakhi","07-NOV-2018 to 17-MAR-2021","161100","4475992","6323491","Reg29(2)","18-Mar-2021, 19-16"
"MOTOGENFIN","The Motor & General Finance Limited","GEE GEE HOLDINGS PRIVATE LIMITED","22-DEC-2020 to 22-DEC-2020","11122",,"1867580","Reg29(2)","18-Mar-2021, 19-04"
"TERASOFT","Tera Software Limited","Tummala Rajasekhar","17-MAR-2021 to 17-MAR-2021","696282",,"1720899","Reg29(2)","18-Mar-2021, 19-02"
"TERASOFT","Tera Software Limited","Tummala Rajasekhar","17-MAR-2021 to 17-MAR-2021","696282",,"1720899","Reg29(2)","18-Mar-2021, 19-02"
"MOHITIND","Mohit Industries Limited","MADHU NARAYAN SABOO","17-MAR-2021 to 17-MAR-2021","29009",,"530607","Reg29(2)","18-Mar-2021, 19-00"
"MOTOGENFIN","The Motor & General Finance Limited","GEE GEE HOLDINGS PRIVATE LIMITED","21-DEC-2019 to 21-DEC-2019","7278",,"1856458","Reg29(2)","18-Mar-2021, 18-56"
"PPAP","PPAP Automotive Limited","Kalindi Farms Private Limited","16-MAR-2021 to 16-MAR-2021","2500",,"9042897","Reg29(2)","18-Mar-2021, 18-56"
"GODFRYPHLP","Godfrey Phillips India Limited","K K Modi Investment And Financial Services Private Limited along with PAC","17-MAR-2021 to 18-MAR-2021","29073",,"24740056","Reg29(2)","18-Mar-2021, 18-54"
"SIGIND","Signet Industries Limited","Mukesh Sangla","18-MAR-2021 to 18-MAR-2021","3500",,"827086","Reg29(2)","18-Mar-2021, 18-54"
"INFIBEAM","Infibeam Avenues Limited","Infinium Motors (Gujarat) Private Limited","17-MAR-2021 to 17-MAR-2021",,"4834655","0","Reg29(2)","18-Mar-2021, 17-16"
"KPITTECH","KPIT Technologies Limited","Vistra ITCL (India) Limited","16-MAR-2021 to 16-MAR-2021",,"9961935","5000000","Reg29(2)","18-Mar-2021, 17-16"
"IBREALEST","Indiabulls Real Estate Limited","SG Devbuild Private Limited along with PAC","12-MAR-2021 to 17-MAR-2021",,"20122561","71767184","Reg29(2)","18-Mar-2021, 12-36"
"IBREALEST","Indiabulls Real Estate Limited","Dahlia Infrastructure Private Limited along with PAC","12-MAR-2021 to 17-MAR-2021",,"20122561","71767184","Reg29(2)","18-Mar-2021, 12-36"
"IBREALEST","Indiabulls Real Estate Limited","Powerscreen Media Private Limited along with PAC","12-MAR-2021 to 17-MAR-2021",,"20122561","71767184","Reg29(2)","18-Mar-2021, 12-36"
"IBREALEST","Indiabulls Real Estate Limited","SG Infralands Private Limited along with PAC","12-MAR-2021 to 17-MAR-2021",,"20122561","71767184","Reg29(2)","18-Mar-2021, 12-36"
"IBREALEST","Indiabulls Real Estate Limited","Kritikka Infrastructure Private Limited along with PAC","12-MAR-2021 to 17-MAR-2021",,"20122561","71767184","Reg29(2)","18-Mar-2021, 12-34"
"MOHITIND","Mohit Industries Limited","MADHU NARAYAN SABOO","16-MAR-2021 to 16-MAR-2021","22000",,"501598","Reg29(2)","18-Mar-2021, 12-34"
"SANDHAR","Sandhar Technologies Limited","Mr. Jayant Davar","17-MAR-2021 to 17-MAR-2021","4000",,"31321517","Reg29(2)","18-Mar-2021, 12-34"
"INFIBEAM","Infibeam Avenues Limited","Infinium Motors Private Limited","17-MAR-2021 to 17-MAR-2021","4834655",,"57881875","Reg29(2)","17-Mar-2021, 20-10"
"INFIBEAM","Infibeam Avenues Limited","Varini Patel","15-MAR-2021 to 15-MAR-2021",,"1000100","28249900","Reg29(2)","17-Mar-2021, 20-10"
"AIRAN","Airan Limited","Poonam Sandeep Agrawal along with PAC","16-MAR-2021 to 16-MAR-2021","125000",,"93158251","Reg29(2)","17-Mar-2021, 20-08"
"AIRAN","Airan Limited","Abhishek Sandeepkumar Agrawat along with PAC","16-MAR-2021 to 16-MAR-2021","125000",,"93158251","Reg29(2)","17-Mar-2021, 20-08"
"AIRAN","Airan Limited","SANDEEPKUMAR VISHWANATH AGRAWAL HUF along with PAC","16-MAR-2021 to 16-MAR-2021","125000",,"93158251","Reg29(2)","17-Mar-2021, 20-06"
"AIRAN","Airan Limited","Mr. Sandeepkumar V Agrawal along with PAC","16-MAR-2021 to 16-MAR-2021","125000",,"93158251","Reg29(2)","17-Mar-2021, 19-56"
"GNA","GNA Axles Limited","GNA Gears Limited","15-MAR-2021 to 15-MAR-2021","20",,"20","Reg29(2)","17-Mar-2021, 19-54"
"SHRENIK","Shrenik Limited","Mr Kaivan Vimawala","15-MAR-2021 to 15-MAR-2021",,"100000","15538478","Reg29(2)","17-Mar-2021, 19-54"
"SHRENIK","Shrenik Limited","Mr Rishit Vimawala","15-MAR-2021 to 15-MAR-2021",,"2500000","22628000","Reg29(2)","17-Mar-2021, 19-54"
"DEEPAKFERT","Deepak Fertilizers And Petrochemicals Corporation Limited","Robust Marketing Services Private Limited","16-MAR-2021 to 16-MAR-2021","35000",,"10583301","Reg29(2)","17-Mar-2021, 19-52"
"HISARMETAL","Hisar Metal Industries Limited","Mahabir Prasad Jindal alongwith PACs","15-MAR-2021 to 15-MAR-2021","0",,"1314050","Reg29(2)","17-Mar-2021, 19-14"
"MAHICKRA","Mahickra Chemicals Limited","Nimit Miteshkmar Gandhi","16-MAR-2021 to 16-MAR-2021","1500",,"64500","Reg29(2)","17-Mar-2021, 19-14"
"RENUKA","Shree Renuka Sugars Limited","IDBI Bank Limited","09-APR-2018 to 08-MAR-2021",,"42991276","138977943","Reg29(2)","17-Mar-2021, 19-14"
"HISARMETAL","Hisar Metal Industries Limited","Ravinder Prasad Jindal alongwith PACs","15-MAR-2021 to 15-MAR-2021",,"0","1314050","Reg29(2)","17-Mar-2021, 19-12"
"MITCON","MITCON Consultancy & Engineering Services Limited","SIDBI Trustee Company Limited A/c India Opportunities Fund.","31-DEC-2020 to 16-MAR-2021",,"284000","1354000","Reg29(2)","17-Mar-2021, 19-04"
"RGL","Renaissance Global Limited","Amit Chandrakant Shah","15-MAR-2021 to 15-MAR-2021",,"152000","151812","Reg29(2)","17-Mar-2021, 19-04"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Industrial Finance Limited","16-MAR-2021 to 16-MAR-2021","20000",,"13894386","Reg29(2)","17-Mar-2021, 19-02"
